epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5995.21,0.76128,0.64592,1.00062,0.98297,0.98928,0.995,0.86656,0.61889,0.35023,0.67175,4.9588e-05,4.9588e-05,4.9588e-05
90,6059.65,0.77559,0.63775,1.00691,0.98321,0.98115,0.99466,0.85348,0.65704,0.36367,0.68569,4.57765e-05,4.57765e-05,4.57765e-05
91,6141.13,0.58083,0.34108,0.92329,0.98305,0.98426,0.99484,0.85456,0.65008,0.35552,0.68003,4.1965e-05,4.1965e-05,4.1965e-05
92,6208.75,0.51329,0.30556,0.89097,0.99635,0.99854,0.995,0.8771,0.5777,0.31422,0.65656,3.81535e-05,3.81535e-05,3.81535e-05
93,6275.9,0.4797,0.28867,0.89324,0.99587,1,0.995,0.88947,0.52663,0.30122,0.64361,3.4342e-05,3.4342e-05,3.4342e-05
94,6343.01,0.44717,0.27928,0.87334,0.99678,0.99962,0.995,0.91373,0.46401,0.28796,0.62438,3.05305e-05,3.05305e-05,3.05305e-05
95,6410.09,0.44336,0.27381,0.87528,0.99666,0.99862,0.995,0.91836,0.44778,0.28901,0.61716,2.6719e-05,2.6719e-05,2.6719e-05
96,6477.7,0.42361,0.26864,0.87735,0.99563,0.99524,0.995,0.91499,0.45542,0.28188,0.62168,2.29075e-05,2.29075e-05,2.29075e-05
97,6544.55,0.39685,0.25696,0.85161,0.99484,0.99826,0.995,0.92928,0.40855,0.27667,0.60705,1.9096e-05,1.9096e-05,1.9096e-05
98,6611.88,0.38917,0.25105,0.85924,0.9963,0.99678,0.995,0.92889,0.4146,0.27757,0.60533,1.52845e-05,1.52845e-05,1.52845e-05
99,6678.63,0.37296,0.24768,0.85562,0.99542,0.9993,0.995,0.93868,0.38883,0.27108,0.59783,1.1473e-05,1.1473e-05,1.1473e-05
100,6745.82,0.36124,0.24549,0.84815,0.99643,0.99979,0.995,0.93608,0.38542,0.26773,0.59744,7.6615e-06,7.6615e-06,7.6615e-06
